Слово;Часть речи;Частота;Перевод;Пример предложения (татарча)
опера;N;1884;опера;Опера спектакле күңелне җылыта. (Опера согревает душу.)
мәңгелек;ADJ;1882;вечный;Мәңгелек мәхәббәт телисеңме? (Хочешь вечной любви?)
киңәшмә;N;1876;совещание;Киңәшмәдә яңа проектны таныштырдылар. (На совещании представили новый проект.)
һәрчак;ADV;1876;всегда;Ул һәрчак ярдәмгә килә. (Он всегда приходит на помощь.)
хоккей;N;1872;хоккей;Хоккей матчына билетлар бетте. (Билеты на хоккейный матч закончились.)
әкрен;ADJ;1869;медленный;Әкрен адымнар белән барам. (Иду медленными шагами.)
күл;N;1865;озеро;Күл суы саф һәм салкын. (Вода в озере чистая и холодная.)
төнлә;ADV;1864;ночью;Төнлә йолдызлар ялтырады. (Ночью звёзды сверкали.)
кәгазь;N;1863;бумага;Кәгазьгә рәсем ясадым. (Нарисовал на бумаге.)
җитәкче;N;1861;руководитель;Җитәкче команданы җыярга тырыша. (Руководитель старается собрать команду.)
бер-бер;ADJ;1859;один за другим;Бер-бер артлы саннар язылды. (Числа записаны одно за другим.)
мул;ADJ;1859;богатый;Мул уңыш җыелды. (Собран богатый урожай.)
аракы;N;1850;алкоголь;Аракы эчү сәламәтлеккә зарарлы. (Употребление алкоголя вредит здоровью.)
роль;N;1850;роль;Ролен оста башкара. (Он мастерски исполняет роль.)
пар;N;1845;пара;Пар күлдә йөзеп йөри. (Пара плавает в озере.)
бәйге;N;1842;соревнование;Бәйгедә беренче булдык. (Мы стали первыми на соревновании.)
әйләнә;V;1841;крутиться;Җир әйләнә кояш тирәли. (Земля вращается вокруг Солнца.)
азык;N;1841;корм;Азыкны хайваннарга бир. (Дай корм животным.)
әдип;N;1839;писатель;Әдип яңа роман язып чыгарды. (Писатель выпустил новый роман.)
мәгънә;N;1838;значение;Сүзнең мәгънәсен аңла. (Пойми значение слова.)
аграр;ADJ;1836;аграрный;Аграр сәясәт игътибарга лаек. (Аграрная политика заслуживает внимания.)
компания;N;1833;компания;Компания яңа продукт чыгарды. (Компания выпустила новый продукт.)
өстәвенә;ADV;1830;кроме того;Өстәвенә, ул шулай ук җырлый. (Кроме того, он ещё и поёт.)
зат;N;1829;существо;Затларның төрле формалары бар. (Существа имеют разные формы.)
биек;ADJ;1825;высокий;Биек тауларга менергә яратам. (Люблю подниматься на высокие горы.)
каршылык;N;1820;противоречие;Каршылыкларны хәл итергә кирәк. (Нужно разрешить противоречия.)
хәйрия;N;1819;благотворительность;Хәйрия акциясендә катнаштым. (Участвовал в благотворительной акции.)
мөфти;N;1818;муфтий;Мөфти дини сорауларга җавап бирә. (Муфтий отвечает на религиозные вопросы.)
тәнкыйть;N;1818;критика;Тәнкыйть конструктив булырга тиеш. (Критика должна быть конструктивной.)
кош;N;1816;птица;Кошлар күккә оча. (Птицы летают в небо.)
инвестиция;N;1816;инвестиция;Инвестицияләр үсешкә ярдәм итә. (Инвестиции способствуют развитию.)
беркөнне;ADV;1814;однажды;Беркөнне мин дә шулай эшләрмен. (Однажды и я так сделаю.)
үзән;N;1812;долина;Үзәндә елга ага. (В долине течёт река.)
хокукый;ADJ;1804;правовой;Хокукый мәсьәләләрне хәл итү авыр. (Решать правовые вопросы сложно.)
рәссам;N;1802;художник;Рәссам матур картиналар ясый. (Художник создаёт красивые картины.)
власть;N;1796;власть;Власть халыкны тыңларга тиеш. (Власть должна слушать народ.)
җомга;N;1791;пятница;Җомга көнне ял итәбез. (В пятницу мы отдыхаем.)
бал;N;1785;мёд;Бал тәмле һәм файдалы. (Мёд вкусен и полезен.)
сабантуй;N;1782;сабантуй;Сабантуйда күп кеше җыелды. (На сабантуй собралось много людей.)
штраф;N;1781;штраф;Штраф түләргә мәҗбүр булдык. (Нас заставили заплатить штраф.)
хәләл;ADJ;1774;дозволенный;Хәләл эшләр генә эшлә. (Совершай только дозволенные поступки.)
тискәре;ADJ;1773;отрицательный;Тискәре фикерләргә игътибар итмә. (Не обращай внимание на отрицательные мнения.)
энергия;N;1767;энергия;Энергия саклау мөһим. (Сохранение энергии важно.)
вак;ADJ;1763;мелкий;Вак ташлар юлда сачраган. (Мелкие камни рассыпаны на дороге.)
һәйкәл;N;1763;памятник;Һәйкәл тарихны хәтерли. (Памятник напоминает об истории.)
иркен;ADJ;1758;свободный;Иркен вакытны файдалы үткәр. (Проводи свободное время с пользой.)
нәшер;N;1758;издание;Китапның яңа нәшере чыкты. (Вышло новое издание книги.)
журнал;N;1756;журнал;Журналда мәкалә бастырылды. (В журнале опубликовали статью.)
ач;V;1755;открывать;Ач җилтәсендәге сандыкны. (Открой сундук под окном.)
мәңге;ADV;1741;навсегда;Мәңге дуслар булырбыз. (Мы будем друзьями навсегда.)
каз;N;1738;гусь;Казлар күл янында йөри. (Гуси гуляют у озера.)
товар;N;1736;товар;Товар сыйфаты югары. (Качество товара высокое.)
сәфәр;N;1735;путешествие;Сәфәр вакытында күп нәрсә күрдек. (Во время путешествия увидели многое.)
хаклы;N;1731;правомочный;Хаклы карарны кабул иттек. (Приняли правомочное решение.)
рәхим;N;1730;милость;Алланың рәхиме безне сакласын. (Да сохранит нас милость Аллаха.)
кредит;N;1727;кредит;Кредит алу шартлары авыр. (Условия получения кредита жёсткие.)
вакытлыча;ADV;1726;временно;Вакытлыча эшләү урынын таптым. (Нашёл временное место работы.)
лирик;ADJ;1723;лирический;Лирик шигырьләр яратам. (Люблю лирические стихи.)
күрсәткеч;N;1715;индикатор;Күрсәткечләр үсешне аңлата. (Индикаторы показывают рост.)
шикәр;N;1714;сахар;Шикәрне күп кулланма. (Не используй много сахара.)
немец;N;1713;немец;Немец телен өйрәнәм. (Учу немецкий язык.)
файда;N;1707;польза;Файдалы киңәшләрең өчен рәхмәт. (Спасибо за полезные советы.)
министрлык;N;1705;министерство;Министрлык яңа законны раслады. (Министерство утвердило новый закон.)
сабый;N;1704;младенец;Сабый йокыга китте. (Младенец уснул.)
элегрәк;ADV;1701;раньше;Элегрәк монда урман булган. (Раньше здесь был лес.)
квадрат;N;1693;квадрат;Квадрат мәйданын исәплә. (Рассчитай площадь квадрата.)
буа;N;1692;пруд;Буада балык тоталар. (В пруду ловят рыбу.)
тере;ADJ;1684;живой;Тере организмнарны өйрәнәм. (Изучаю живые организмы.)
кылган;N;1683;сделанный;Кылган эшнең нәтиҗәсе яхшы. (Результат сделанной работы хороший.)
көндәлек;N;1675;дневник;Көндәлеккә вакыйгаларны язып куй. (Записывай события в дневник.)
серле;N;1669;тайна;Серле урынны таптым. (Нашёл тайное место.)
почта;N;1667;почта;Почта аша хат җибәрдем. (Отправил письмо по почте.)
төш;V;1666;падать;Төшкән яфракларны җый. (Собери опавшие листья.)
моң;N;1661;мелодия;Моңлы җыр күңелгә тешә. (Мелодичная песня трогает душу.)
сыйфат;N;1658;качество;Сыйфатлы продуктлар сатып ал. (Покупай качественные продукты.)
хәерле;ADJ;1650;добрый;Хәерле сүзләр күңелне җылыта. (Добрые слова согревают сердце.)
завод;N;1647;завод;Завод яңа модель чыгарды. (Завод выпустил новую модель.)
һөҗүм;N;1647;атака;Һөҗүмне кире кайтардык. (Мы отразили атаку.)
шик;N;1647;сомнение;Шикләреңне ачыкла. (Проясни свои сомнения.)
көньяк;N;1646;юг;Көньякта кояш эссе. (На юге солнце жаркое.)
милләтара;ADJ;1645;межнациональный;Милләтара мөнәсәбәтләр мөһим. (Межнациональные отношения важны.)
ап-ак;ADJ;1642;белоснежный;Ап-ак кар яуа. (Идёт белоснежный снег.)
борын;V;1640;нюхать;Борын белән гүзәл исләр сизәм. (Чувствую прекрасные запахи носом.)
агай;N;1639;дядя;Агай безгә килде. (Дядя пришёл к нам.)
ассызыклап;ADV;1637;подробно;Ассызыклап аңлат әле. (Объясни подробно.)
терлек;N;1635;скот;Терлекне сакларга кирәк. (Нужно заботиться о скоте.)
насыйп;N;1634;судьба;Насыйп безне берләштерде. (Судьба нас объединила.)
мәҗбүри;ADJ;1634;обязательный;Мәҗбүри укыту программасы. (Обязательная учебная программа.)
роман;N;1632;роман;Романны бердәм укыдым. (Прочитал роман за один раз.)
сул;ADJ;1631;левый;Сул кулың белән язырга өйрән. (Научись писать левой рукой.)
күпсанлы;ADJ;1630;многочисленный;Күпсанлы сорауларга җавап бирде. (Ответил на многочисленные вопросы.)
юбилей;N;1630;юбилей;Юбилей тантанасы зур булды. (Юбилейное торжество было грандиозным.)
фольклор;N;1630;фольклор;Фольклор безнең мәдәниятнең өлеше. (Фольклор — часть нашей культуры.)
ялгыш;N;1628;ошибка;Ялгышны төзәтү мөмкин. (Ошибку можно исправить.)
тармак;N;1628;отрасль;Тармак үсеше өчен инвестицияләр кирәк. (Для развития отрасли нужны инвестиции.)
хак;N;1626;право;Хакларыңны якларга тырыш. (Старайся защищать свои права.)
банк;N;1622;банк;Банкта акча саклыйлар. (В банке хранят деньги.)
территориаль;ADJ;1619;территориальный;Территориаль бүленеш мәсьәләле. (Территориальное разделение проблематично.)
исерек;N;1617;пьяный;Исерек кеше юлны тотмаган. (Пьяный человек не держал дорогу.)
базар;N;1616;рынок;Базарда яңа товарлар бар. (На рынке есть новые товары.)
сәлам;INTRJ;1609;привет;Сәлам, ничексең? (Привет, как дела?)
клуб;N;1607;клуб;Клубта кичә концерт булды. (Вчера в клубе был концерт.)
тар;ADJ;1605;узкий;Тар юлны киңәйтү планлаштыралар. (Планируют расширить узкую дорогу.)
участок;N;1589;участок;Участокта яшелчәләр үстерәләр. (На участке выращивают овощи.)
асыл;N;1587;сущность;Асылны аңламаганга эш бетми. (Дело не закончится, пока не поймёшь суть.)
тәгалә;N;1585;Бог;Тәгалә безне сакласын. (Да хранит нас Бог.)
дучар;N;1584;беда;Дучарга эләкмәскә тырыш. (Старайся избегать беды.)
шат;ADJ;1584;радостный;Шат күңел белән эшлә. (Работай с радостным настроением.)
исәп;N;1583;счёт;Исәптә хата бар. (В счёте есть ошибка.)
мәхкәмә;N;1582;суд;Мәхкәмә карары гадел. (Решение суда справедливо.)
кино;N;1580;кино;Кино тамашачыларны җыя. (Кино собирает зрителей.)
форум;N;1574;форум;Форумда актив катнаштым. (Я активно участвовал на форуме.)
чүп;N;1571;мусор;Чүпне чыгарырга онытма. (Не забудь вынести мусор.)
вәкил;N;1565;представитель;Вәкил безнең хокукны яклады. (Представитель защитил наши права.)
секретарь;N;1564;секретарь;Секретарь документларны оештырды. (Секретарь организовал документы.)
ризык;N;1561;еда;Ризык тәмле булды. (Еда была вкусной.)
мэр;N;1558;мэр;Мэр шәһәрнең үсешенә ярдәм итә. (Мэр помогает развитию города.)
җыелма;V;1557;собираться;Җыелма вакытын белдер. (Сообщи время собрания.)
янәшә;ADV;1553;рядом;Янәшә утрауда матур пляж бар. (Рядом на острове есть красивый пляж.)
алмаз;N;1548;алмаз;Алмаз катлаулы эшләнә. (Алмаз обрабатывается сложно.)
дога;N;1545;молитва;Дога кылу күңелне тынычландыра. (Молитва успокаивает душу.)
катгый;ADJ;1545;строгий;Катгый кагыйдәләрне бозма. (Не нарушай строгие правила.)
телевидение;N;1543;телевидение;Телевидение аша яңалыклар тапшыралар. (Новости передают по телевидению.)
хәзергә;ADV;1542;сейчас;Хәзергә эшләмәкче түгелмен. (Сейчас я не хочу работать.)
операция;N;1540;операция;Операция уңышлы тәмамланды. (Операция завершилась успешно.)
туй;V;1539;жениться;Ул киләсе айда туйлыйчак. (Он женится в следующем месяце.)
гаҗәеп;ADJ;1537;удивительный;Гаҗәеп табигать күренеше. (Удивительное природное явление.)
химия;N;1535;химия;Химия фәне авыр, ләкин кызыклы. (Химия — сложная, но интересная наука.)
калын;ADJ;1529;толстый;Калын китапны укырга вакыт кирәк. (Чтобы прочитать толстую книгу, нужно время.)
күчмә;V;1528;переезжать;Күчмә вакытында ярдәм сора. (Попроси помощь при переезде.)
ипотека;N;1526;ипотека;Ипотека шартларын өйрән. (Изучи условия ипотеки.)
көз;N;1523;осень;Көздә яфраклар саргая. (Осенью листья желтеют.)
олуг;ADJ;1522;великий;Олуг шагыйрьнең иҗаты мәңгелек. (Творчество великого поэта вечно.)
жюри;N;1514;жюри;Жюри карары гадел булды. (Решение жюри было справедливым.)
очраклы;N;1513;случайный;Очраклы очрашу шатландырды. (Случайная встреча обрадовала.)
алма;V;1509;брать;Алма вакытыңны файдалы кулла. (Бери своё время и используй с пользой.)
белгеч;N;1508;специалист;Белгеч ярдәменә ия булдык. (Мы получили помощь специалиста.)
өстен;N;1503;поверхность;Өстендәге язуны укый алмыйм. (Не могу прочитать надпись на поверхности.)
лар;N;1501;суффикс мн. числа;Китаплар кибеттә сатыла. (Книги продаются в магазине.)
профессиональ;ADJ;1499;профессиональный;Профессиональ осталык таләп ителә. (Требуется профессиональное мастерство.)
бүлмә;N;1498;комната;Бүлмәдә яңа җиһазлар куелды. (В комнате поставили новую мебель.)
мәйдан;N;1498;площадь;Мәйданда бәйрәм тантанасы үтте. (На площади прошло праздничное мероприятие.)
татлы;ADJ;1497;сладкий;Татлы десертны балалар ярата. (Дети любят сладкие десерты.)
корал;N;1497;оружие;Коралны иминлек белән кулланырга кирәк. (Оружием нужно пользоваться безопасно.)
мәшһүр;ADJ;1492;известный;Мәшһүр рәссамның күргәзмәсе ачылды. (Открылась выставка известного художника.)
балет;N;1492;балет;Балет спектакле күңелгә ямь бирә. (Балетный спектакль радует душу.)
университет;N;1492;университет;Университетта белем бик тирән. (Знания в университете очень глубокие.)
тиң;ADJ;1491;равный;Тиң хокукларны якларга кирәк. (Нужно защищать равные права.)
коточкыч;ADJ;1490;ужасный;Коточкыч хәл булды. (Произошло ужасное событие.)
уңган;ADJ;1485;успешный;Уңган эшмәкәрлек үрнәге. (Пример успешного предпринимательства.)
намаз;N;1483;намаз;Намаз укырга вакыт таптым. (Нашёл время для совершения намаза.)
йомгак;N;1482;итог;Йомгак җыентыгында нәтиҗәләр күрсәтелде. (В итоговом сборнике представлены результаты.)
тап;V;1481;находить;Тапкан акчаны сакла. (Сохрани найденные деньги.)
әкият;N;1481;сказка;Әкият балаларны сөйләп китә. (Сказка увлекает детей.)
ябык;V;1480;закрывать;Ябык ишекне ачмадылар. (Закрытую дверь не открыли.)
башкала;N;1480;столица;Башкалада зур чаралар үтә. (В столице проходят крупные мероприятия.)
бервакыт;ADV;1480;однажды;Бервакыт мин дә шулай эшләрмен. (Однажды и я так сделаю.)
әнкәй;N;1478;бабушка;Әнкәй сөтле чәй әзерләде. (Бабушка приготовила чай с молоком.)
чират;N;1477;очередь;Чиратта барыгыз да торыгыз. (Стойте все в очереди.)
күчтәнәч;N;1473;соревнование;Күчтәнәчтә җиңүчеләр бүләкләнде. (Победители соревнования были награждены.)
солтан;N;1468;султан;Солтан гаделлек белән идарә итте. (Султан правил справедливо.)
коллектив;ADJ;1465;коллективный;Коллектив эш нәтиҗәле булды. (Коллективная работа была результативной.)
үлән;N;1464;трава;Үләннәр яшел төсле. (Трава зелёного цвета.)
тамак;N;1462;горло;Тамак авыруына дару эчәм. (Пью лекарство от боли в горле.)
ачы;ADJ;1459;кислый;Ачы алманы сыйфатлыйлар. (Кислое яблоко характеризуют.)
мөнәсәбәт;N;1459;отношение;Мөнәсәбәтләрне яхшырту кирәк. (Нужно улучшать отношения.)
этәргеч;N;1459;стимул;Этәргеч буларак акча кулланылды. (Деньги использовали как стимул.)
йокы;N;1456;сон;Йокы вакыты җитәрлек түгел. (Времени на сон недостаточно.)
филология;N;1454;филология;Филология фәне сүзләрне өйрәнә. (Филология изучает слова.)
әңгәмә;N;1451;разговор;Әңгәмәдә актив катнаштым. (Я активно участвовал в разговоре.)
елдан-ел;ADV;1448;из года в год;Елдан-ел җитештерү арта. (Производство растёт из года в год.)
дәгъва;N;1447;иск;Дәгъваны хәл итү озакка сузылды. (Рассмотрение иска затянулось.)
инвалид;N;1441;инвалид;Инвалидларга ярдәм күрсәтергә кирәк. (Нужно помогать инвалидам.)
автобус;N;1439;автобус;Автобус станциясендә көтәм. (Жду на автобусной станции.)
план;N;1435;план;Планны гамәлгә ашыру мөмкин. (План можно реализовать.)
радио;N;1434;радио;Радиода яңа җырлар уйныйлар. (На радио играют новые песни.)
армия;N;1430;армия;Армия халкы сакларга булыша. (Армия помогает защищать народ.)
рамазан;N;1427;Рамадан;Рамазан аенда ураза тотарга. (В месяц Рамадан постятся.)
ләп;ADV;1423;быстро;Ләп эшләп бетерергә тырыштым. (Старался быстро закончить работу.)
шундук;ADV;1419;тут же;Шундук җавап бирә алмадым. (Не смог ответить тут же.)
алгы;V;1417;брать;Алгы кирәкле документларны. (Возьми необходимые документы.)
барыбыз;N;1416;все мы;Барыбыз да җаваплыбыз. (Все мы ответственны.)
килен;N;1414;невестка;Килен гаиләгә яңа керде. (Невестка влилась в семью.)
кыю;ADJ;1414;смелый;Кыю карарларны кабул итәм. (Принимаю смелые решения.)
доллар;N;1413;доллар;Доллар курсы үскән. (Курс доллара вырос.)
шайтан;N;1412;дьявол;Шайтан явызлыкны символлаштыра. (Дьявол символизирует зло.)
медаль;N;1412;медаль;Медаль җиңүчегә тапшырылды. (Медаль вручили победителю.)
центнер;N;1411;центнер;Җирдән 10 центнер уңыш җыелды. (Собрали урожай 10 центнеров.)
герой;N;1407;герой;Герой ватан өчен көрәшкән. (Герой боролся за Родину.)
ата-ана;N;1403;родители;Ата-ана балага ярдәм итә. (Родители помогают ребёнку.)
коммуналь;ADJ;1402;коммунальный;Коммуналь хезмәтләр яхшыртылды. (Коммунальные услуги улучшились.)
оешкан;V;1400;организованный;Оешкан чара уңышлы үтте. (Организованное мероприятие прошло успешно.)
каен;N;1396;берёза;Каен урманда матур күренә. (Берёза красиво смотрится в лесу.)
балигъ;ADJ;1388;совершеннолетний;Балигъ булганнан соң җаваплылык арта. (После совершеннолетия ответственность возрастает.)
дәү;ADJ;1387;большой;Дәү йортта күп кеше яши. (В большом доме живёт много людей.)
усал;ADJ;1386;хитрый;Усал план эшләмәскә тырыш. (Старайся не строить хитрых планов.)
кияү;N;1385;зять;Кияү гаиләгә яңа керде. (Зять влился в семью.)
культура;N;1383;культура;Культура үсеше мөһим. (Развитие культуры важно.)
аяз;V;1382;яснеть;Киләчәк аяз булыр. (Завтра будет ясно.)
наркотик;N;1382;наркотик;Наркотиклар сәламәтлеккә зарарлы. (Наркотики вредны для здоровья.)
сарыф;N;1376;расход;Сарыфларны кыскартырга кирәк. (Нужно сократить расходы.)
күлмәк;N;1372;рубашка;Күлмәк яңа төстәге. (Рубашка нового цвета.)
статья;N;1370;статья;Статьяда мөһим мәсьәләләр күтәрелде. (В статье подняты важные вопросы.)
иман;N;1369;вера;Иман кешене ныгыта. (Вера укрепляет человека.)
гармун;N;1367;гармонь;Гармунда көйләр уйныйлар. (На гармони играют мелодии.)
кушма;ADJ;1364;составной;Кушма җәүһәрләр күпмедер кыйммәтле. (Составные украшения менее ценны.)
рәсем;N;1363;рисунок;Рәсемгә матур төсләр кулланылган. (В рисунке использованы красивые цвета.)
мәкалә;N;1360;статья;Мәкаләне дистәгә якын кеше укыды. (Статью прочитало около десятка человек.)
билет;N;1360;билет;Билетлар бөтенләй бетте. (Билеты полностью закончились.)
сумма;N;1356;сумма;Сумманы дөрес исәпләгез. (Рассчитайте сумму правильно.)
кырыс;ADJ;1350;суровый;Кырыс карарлар кирәкми. (Суровые решения не нужны.)
старт;N;1343;старт;Старт сигналыннан соң узыш башланды. (После стартового сигнала начался забег.)
тула;N;1342;наполнение;Тула тулы булмаган савытны таптым. (Нашёл сосуд с неполным наполнением.)
утын;N;1341;дрова;Утынны салкын кышка әзерләдек. (Заготовили дрова на холодную зиму.)
классик;ADJ;1339;классический;Классик әдәбиятны яратам. (Люблю классическую литературу.)
көнкүреш;N;1337;быт;Көнкүреш эшләре вакыт ала. (Бытовые дела отнимают время.)
диплом;N;1335;диплом;Дипломны уңышлы якладым. (Успешно защитил диплом.)
акрын;ADJ;1328;медленный;Аксыл акрын адымнар белән йөри. (Идёт медленными шагами.)
мультфильм;N;1328;мультфильм;Мультфильм балаларны шатландыра. (Мультфильм радует детей.)
кайгы;N;1326;горе;Кайгыны бүлешү җиңеләйтә. (Разделение горя облегчает.)
тәүлек;N;1325;сутки;Тәүлек эчендә эшләр бетерергә кирәк. (Нужно завершить дела в течение суток.)
чик;V;1324;граничить;Ике ил чикләре буенча тынычлык саклана. (Мир сохраняется вдоль границ двух стран.)
русча;N;1321;по-русски;Русча сөйләшүне өйрәнәм. (Учусь говорить по-русски.)
бөгелмә;N;1319;препятствие;Бөгелмәләрне җиңү мөмкин. (Препятствия можно преодолеть.)
хәким;N;1319;правитель;Хәким халыкны якларга тиеш. (Правитель должен защищать народ.)
фонд;N;1317;фонд;Фонд ярдәмендә проект тормышка ашырылды. (Проект реализован при поддержке фонда.)
обзор;N;1317;обзор;Обзорда яңа китаплар турында сөйләделәр. (В обзоре рассказали о новых книгах.)
ур;N;1314;след;Урларны эзләп таптык. (Мы нашли следы.)
таза;ADJ;1312;чистый;Таза һава гизүче булды. (Чистый воздух освежал.)
охшаш;ADJ;1311;похожий;Охшаш фикерләр ишетелде. (Слышны похожие мнения.)
мари;N;1307;мариец;Мари халкының мәдәнияте бай. (Культура народа мари богата.)
популяр;ADJ;1307;популярный;Популяр җырны барысы да белә. (Все знают популярную песню.)
композитор;N;1305;композитор;Композитор яңа симфония язды. (Композитор написал новую симфонию.)
бихисап;ADV;1303;бесчисленно;Бихисап йолдызлар күкне бизәде. (Бесчисленные звёзды украсили небо.)
конкрет;ADJ;1303;конкретный;Конкрет җавап бирүне сорадылар. (Попросили дать конкретный ответ.)
дүшәмбе;N;1302;понедельник;Дүшәмбе көнне эшләргә башлыйбыз. (В понедельник начинаем работать.)
явыз;ADJ;1296;злой;Явыз сүзләр күңелне рәнҗетә. (Злые слова ранят душу.)
куян;N;1296;заяц;Куян урманда тиз йөгерә. (Заяц быстро бегает в лесу.)
тугры;ADJ;1295;верный;Тугры юлны сайладык. (Мы выбрали верный путь.)
салам;N;1293;приветствие;Салам белән сөйләшү гадәттәге кебек. (Приветствовать друг друга — как обычно.)
басу;N;1288;поле;Басуда бодай үсә. (На поле растёт пшеница.)
номер;N;1286;номер;Номерны яңадан тикшерегез. (Проверьте номер ещё раз.)
мунча;N;1286;баня;Мунчада вакыт үткәрү яхшы. (Хорошо проводить время в бане.)
керем;N;1280;доход;Керемнәребез артты. (Наши доходы выросли.)
имтихан;N;1279;экзамен;Имтиханнарга әзерләнү авыр. (Готовиться к экзаменам сложно.)
белешмә;V;1278;знакомиться;Яңа кешеләр белән белешү кызыклы. (Знакомиться с новыми людьми интересно.)
ихтирам;N;1278;уважение;Ихтирамны казанырга кирәк. (Уважение нужно заслужить.)
сарык;N;1277;овца;Сарык көтүен сакладык. (Мы охраняли стадо овец.)
институт;N;1276;институт;Институтта фәнни эшләр алып барыла. (В институте ведутся научные работы.)
система;N;1275;система;Системаны яңарттылар. (Систему обновили.)
җыен;V;1271;собирать;Җыенган акчаны ярдәмгә кулланыгыз. (Собранные деньги используйте для помощи.)
до;N;1260;до (нота);До нотасын җырлау авыр. (Петь ноту до сложно.)
мич;N;1256;печь;Мич янган йортта җылылык. (Печь даёт тепло в доме.)
соңга;ADV;1253;поздно;Соңга калмас өчен тизрәк эшлә. (Работай быстрее, чтобы не опоздать.)
поезд;N;1251;поезд;Поезд станциягә килде. (Поезд прибыл на станцию.)
кимендә;ADV;1248;хотя бы;Кимендә бер сәгать эшлә. (Поработай хотя бы час.)
дәрес;N;1246;урок;Дәрес вакытында тыңла. (Слушай во время урока.)
кичен;V;1245;вечереть;Кичен җиткәч, йолдызлар чыкты. (Когда наступил вечер, появились звёзды.)
кайчак;ADV;1245;иногда;Кайчак тынычлык кирәк. (Иногда нужна тишина.)
ихтыяҗ;N;1242;потребность;Ихтыяҗларыңны белдер. (Сообщи о своих потребностях.)
иран;N;1242;Иран;Иран мәдәнияте бай тарихлы. (Культура Ирана имеет богатую историю.)
күмәк;ADJ;1240;совместный;Күмәк эш нәтиҗәле булды. (Совместная работа была результативной.)
хикмәт;N;1238;мудрость;Хикмәтле сүзләр күңелгә тешә. (Мудрые слова западают в душу.)
ясалма;V;1235;созданный;Ясалма күкертма матур күренә. (Созданный искусственный водопад выглядит красиво.)
булышлык;N;1235;содействие;Булышлыгыгыз өчен рәхмәт! (Спасибо за ваше содействие!)
дуңгыз;N;1234;свинья;Дуңгыз фермасында үстерәләр. (Свиней выращивают на ферме.)
авиация;N;1234;авиация;Авиация техникасы тиз үсә. (Авиационная техника быстро развивается.)
капитан;N;1234;капитан;Капитан корабны иминлеккә илтте. (Капитан провёл корабль к безопасности.)
илаһи;ADJ;1230;божественный;Илаһи җырлар күңелне тынычландыра. (Божественные песни успокаивают душу.)
куе;ADJ;1228;густой;Куе урманда юлны табарга авыр. (В густом лесу сложно найти дорогу.)
реаль;ADJ;1225;реальный;Реаль мөмкинлекләрне исәпкә алырга кирәк. (Нужно учитывать реальные возможности.)
кием;N;1224;одежда;Киемне сату кибетендә сайладык. (Выбрали одежду в магазине.)
кибет;N;1224;магазин;Кибеттә яңа товарлар килгән. (В магазин завезли новые товары.)
мохтаҗ;ADJ;1223;нуждающийся;Мохтаҗларга ярдәм итегез. (Помогите нуждающимся.)
тавык;N;1222;курица;Тавык йомыркасын ашыйбыз. (Едим куриные яйца.)
керәшен;N;1221;крестьянин;Керәшен җирне үстерә. (Крестьянин обрабатывает землю.)
гәүдәле;ADJ;1218;телесный;Гәүдәле сәламәтлеккә игътибар итегез. (Уделяйте внимание физическому здоровью.)
шәфкать;N;1218;милосердие;Шәфкать күрсәтү – изге эш. (Проявление милосердия – благое дело.)
мөстәкыйль;ADJ;1213;независимый;Мөстәкыйль илнең үз кануннары бар. (У независимой страны свои законы.)
премия;N;1212;премия;Премияне яулап алдык. (Мы выиграли премию.)
кызу;ADJ;1211;горячий;Кызу чәй эчеп җылыныгыз. (Пейте горячий чай, чтобы согреться.)
үч;N;1207;месть;Үч алу хәлне начарлаштыра. (Месть усугубляет ситуацию.)
китапханә;N;1204;библиотека;Китапханәдә тынычлык сакларга кирәк. (В библиотеке нужно соблюдать тишину.)
комедия;N;1203;комедия;Комедия тамашачыларны көлдерде. (Комедия заставила зрителей смеяться.)
академик;N;1201;академик;Академик фәнни тикшеренүләр алып бара. (Академик проводит научные исследования.)
бармак;N;1200;палец;Бармагымны яраладым. (Я поранил палец.)
үзбәк;N;1196;узбек;Үзбәк телен өйрәнәм. (Учу узбекский язык.)
тора-бара;ADV;1193;постепенно;Тора-бара һәрнәрсә яхшырачак. (Постепенно всё наладится.)
ярдәмче;N;1192;помощник;Ярдәмче эшне җиңеләйтте. (Помощник облегчил работу.)
энергетика;N;1187;энергетика;Энергетика үсеше ил өчен мөһим. (Развитие энергетики важно для страны.)
анализ;N;1186;анализ;Анализ нәтиҗәләрен җентекләп карагыз. (Внимательно изучите результаты анализа.)
драматург;N;1186;драматург;Драматург яңа пьеса язды. (Драматург написал новую пьесу.)
мондагы;ADJ;1186;местный;Мондагы халык мәдәниятен саклый. (Местное население сохраняет культуру.)
